,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
784,2015-08-01,5910.835734118233,4196.450233088771,6284.4038534148385,5910.835734118233,5910.835734118233,-674.0468626249088,-674.0468626249088,-674.0468626249088,-719.5176400179868,-719.5176400179868,-719.5176400179868,45.47077739307789,45.47077739307789,45.47077739307789,0.0,0.0,0.0,5236.788871493324
785,2015-08-02,5911.59324583014,4614.689120299655,6861.006497300231,5911.59324583014,5911.59324583014,-169.4987694566556,-169.4987694566556,-169.4987694566556,-194.74430787899567,-194.74430787899567,-194.74430787899567,25.245538422340054,25.245538422340054,25.245538422340054,0.0,0.0,0.0,5742.094476373485
786,2015-08-03,5912.350757542046,5915.010301805866,7945.617318740227,5912.350757542046,5912.350757542046,1015.8563811271603,1015.8563811271603,1015.8563811271603,1012.5963136101507,1012.5963136101507,1012.5963136101507,3.26006751700962,3.26006751700962,3.26006751700962,0.0,0.0,0.0,6928.207138669207
787,2015-08-04,5913.108269253952,5071.9367400809615,7119.099781043119,5913.108269253952,5913.108269253952,203.15366146154204,203.15366146154204,203.15366146154204,223.2810976003326,223.2810976003326,223.2810976003326,-20.127436138790568,-20.127436138790568,-20.127436138790568,0.0,0.0,0.0,6116.261930715495
788,2015-08-05,5913.86578096586,4652.547040831898,6661.594264731909,5913.86578096586,5913.86578096586,-248.12850042490453,-248.12850042490453,-248.12850042490453,-203.56657239885973,-203.56657239885973,-203.56657239885973,-44.5619280260448,-44.5619280260448,-44.5619280260448,0.0,0.0,0.0,5665.737280540955
789,2015-08-06,5914.623292677766,4597.269937874681,6701.12620317538,5914.623292677766,5914.623292677766,-253.30125932303545,-253.30125932303545,-253.30125932303545,-183.60100499970375,-183.60100499970375,-183.60100499970375,-69.70025432333172,-69.70025432333172,-69.70025432333172,0.0,0.0,0.0,5661.322033354731
790,2015-08-07,5915.380804389673,4839.698245141446,6962.494941050381,5915.380804389673,5915.380804389673,-29.666853732214385,-29.666853732214385,-29.666853732214385,65.55211408529432,65.55211408529432,65.55211408529432,-95.21896781750871,-95.21896781750871,-95.21896781750871,0.0,0.0,0.0,5885.713950657459
791,2015-08-08,5916.138316101579,4042.358299006497,6043.225542317833,5916.138293595595,5916.138316101579,-840.3386574702467,-840.3386574702467,-840.3386574702467,-719.5176400178887,-719.5176400178887,-719.5176400178887,-120.82101745235815,-120.82101745235815,-120.82101745235815,0.0,0.0,0.0,5075.799658631333
792,2015-08-09,5916.895827813485,4501.235555272401,6695.606148443197,5916.895733336761,5916.89583709861,-340.98545324803865,-340.98545324803865,-340.98545324803865,-194.74430787838332,-194.74430787838332,-194.74430787838332,-146.24114536965536,-146.24114536965536,-146.24114536965536,0.0,0.0,0.0,5575.910374565447
793,2015-08-10,5917.653339525393,5702.550351611966,7787.385505396916,5917.65317757036,5917.653393393931,841.3464436997436,841.3464436997436,841.3464436997436,1012.5963136089147,1012.5963136089147,1012.5963136089147,-171.24986990917103,-171.24986990917103,-171.24986990917103,0.0,0.0,0.0,6758.9997832251365
794,2015-08-11,5918.410851237299,4885.4848078954965,6966.250959953884,5918.410617327288,5918.41099128985,27.62511685874335,27.62511685874335,27.62511685874335,223.28109760209298,223.28109760209298,223.28109760209298,-195.65598074334963,-195.65598074334963,-195.65598074334963,0.0,0.0,0.0,5946.035968096042
795,2015-08-12,5919.168362949205,4485.038936939462,6539.706323171145,5919.1679147906325,5919.168616993078,-422.8740940787374,-422.8740940787374,-422.8740940787374,-203.56657239900156,-203.56657239900156,-203.56657239900156,-219.3075216797358,-219.3075216797358,-219.3075216797358,0.0,0.0,0.0,5496.294268870468
796,2015-08-13,5919.925874661112,4451.285532958255,6571.640091664538,5919.925334458166,5919.926237570606,-425.6922911403363,-425.6922911403363,-425.6922911403363,-183.60100500088402,-183.60100500088402,-183.60100500088402,-242.09128613945222,-242.09128613945222,-242.09128613945222,0.0,0.0,0.0,5494.233583520776
797,2015-08-14,5920.683386373018,4691.139231917204,6700.382196173982,5920.682715923861,5920.68389012102,-198.37878432032156,-198.37878432032156,-198.37878432032156,65.55211408570106,65.55211408570106,65.55211408570106,-263.9308984060226,-263.9308984060226,-263.9308984060226,0.0,0.0,0.0,5722.304602052696
